,claim,from,to
934,P163,Q148,Q131147
935,P150,Q148,Q956
936,P150,Q148,Q11736
937,P150,Q148,Q21208
938,P150,Q148,Q46913
939,P150,Q148,Q41079
940,P150,Q148,Q43934
941,P150,Q148,Q45208
942,P150,Q148,Q19206
943,P150,Q148,Q8686
944,P150,Q148,Q16963
945,P150,Q148,Q16967
946,P150,Q148,Q40956
947,P150,Q148,Q41705
948,P150,Q148,Q57052
949,P150,Q148,Q43407
950,P150,Q148,Q43684
951,P150,Q148,Q46862
952,P150,Q148,Q45761
953,P150,Q148,Q15175
954,P150,Q148,Q15176
955,P150,Q148,Q42200
956,P150,Q148,Q11725
957,P150,Q148,Q19770
958,P150,Q148,Q47097
959,P150,Q148,Q43194
960,P150,Q148,Q8646
961,P150,Q148,Q17269
962,P150,Q148,Q47974
963,P150,Q148,Q42392
964,P150,Q148,Q45833
965,P150,Q148,Q57448
966,P150,Q148,Q34800
967,P150,Q148,Q14773
968,P150,Q148,Q57251
969,P150,Q148,Q1152568
